item_id,upc,item_desc,product_key,pos_desc,department_code,department_name,category_code,category_name,brand,vendor,unit_price,unit_cost,cost_source,margin_pct,food_stamp,wic,season,popularity,observed_units_per_day,demand_source
00200000000001,200000000001,SEMI SWEET RED CLASSIC WINE 1 L,SEMI SWEET RED CLASSIC WINE,SEMI SWEET RED CLASSIC,10,Alcohol,101,WINE,,,9.37,7.0888,synthetic,24.3,N,N,holiday,5.247e-07,,synthetic
00200000000002,200000000002,WHEAT VODKA 1 L,WHEAT VODKA,WHEAT VODKA 1 L,10,Alcohol,102,VODKA,,,20.19,15.56,synthetic,22.9,N,N,holiday,3.8234e-06,,synthetic
00200000000003,200000000003,TRADITIONAL FARMHOUSE BRANDY 250 ML,TRADITIONAL FARMHOUSE BRANDY,TRADITIONAL FARMHOUSE ,10,Alcohol,104,BRANDY,Zorka,Continental Wholesale,16.99,11.8232,synthetic,30.4,N,N,winter,5.318e-07,,synthetic
00200000000004,200000000004,DRY RED WINE 330 ML,DRY RED WINE,DRY RED WINE 330 ML,10,Alcohol,101,WINE,Orlik,Meridian Import Group,9.23,6.6309,synthetic,28.2,N,N,holiday,7.1445e-06,,synthetic
00200000000005,200000000005,ORIGINAL LIQUEUR 1 L,ORIGINAL LIQUEUR,ORIGINAL LIQUEUR 1 L,10,Alcohol,103,LIQUEUR,Nevsky,Continental Wholesale,27.63,21.0255,synthetic,23.9,N,N,fall,1.039e-06,,synthetic
00200000000006,200000000006,ORIGINAL LIQUEUR 500 ML,ORIGINAL LIQUEUR,ORIGINAL LIQUEUR 500 M,10,Alcohol,103,LIQUEUR,Yarilo,Fairline Produce,24.62,18.8323,synthetic,23.5,N,N,holiday,1.01441e-05,,synthetic
00200000000007,200000000007,SPARKLING WINE 1 L,SPARKLING WINE,SPARKLING WINE 1 L,10,Alcohol,101,WINE,,Northfield Bakery Supply,9.96,6.7342,synthetic,32.4,N,N,holiday,3.2958e-06,,synthetic
00200000000008,200000000008,TRADITIONAL GARDEN BRANDY 500 ML,TRADITIONAL GARDEN BRANDY,TRADITIONAL GARDEN BRA,10,Alcohol,104,BRANDY,Ekran,,50.49,37.7563,synthetic,25.2,N,N,winter,1.8604e-06,,synthetic
00200000000009,200000000009,ORIGINAL SELECT BRANDY 1 L,ORIGINAL SELECT BRANDY,ORIGINAL SELECT BRANDY,10,Alcohol,104,BRANDY,,Harbor Point Foods,54.69,40.6537,synthetic,25.7,N,N,winter,2.12689e-05,,synthetic
00200000000010,200000000010,PEPPER SELECT VODKA 1.5 L,PEPPER SELECT VODKA,PEPPER SELECT VODKA 1.,10,Alcohol,102,VODKA,Podolsk,Fairline Produce,14.46,9.6791,synthetic,33.1,N,N,flat,2.4047e-06,,synthetic
