upc,item_id,item_desc,brand,department_code,category_code,category_name,vendor,store_code,store_name,period_start,period_end,days,units,sales,unit_price,unit_cost,gross_margin,units_per_day,sales_per_day,source_file
000200000000723,00200000000723,BLUEBERRY 400 G,,11,113,BERRIES,Junction Foods,STORE01,Riverside,2026-08-07,2026-08-14,8,20.3,60.9,3.0,1.7776,24.81,2.5375,7.6125,Sample_Movement_Report - Berry Category (synthetic).csv
000200000000729,00200000000729,STRAWBERRY GARDEN 500 G,,11,113,BERRIES,Fairline Produce,STORE01,Riverside,2026-08-07,2026-08-14,8,13.7,42.74,3.12,1.7588,18.64,1.7125,5.3425,Sample_Movement_Report - Berry Category (synthetic).csv
000200000000730,00200000000730,GOOSEBERRY 2 LB,,11,113,BERRIES,Keystone Grocers Supply,STORE01,Riverside,2026-08-07,2026-08-14,8,32.7,274.35,8.39,5.6279,90.32,4.0875,34.2938,Sample_Movement_Report - Berry Category (synthetic).csv
000200000000732,00200000000732,CRANBERRY 8 OZ,,11,113,BERRIES,,STORE01,Riverside,2026-08-07,2026-08-14,8,10.8,40.07,3.71,2.5904,12.09,1.35,5.0088,Sample_Movement_Report - Berry Category (synthetic).csv
000200000000747,00200000000747,RASPBERRY 2 LB,,11,113,BERRIES,,STORE01,Riverside,2026-08-07,2026-08-14,8,28.4,282.01,9.93,5.5302,124.95,3.55,35.2512,Sample_Movement_Report - Berry Category (synthetic).csv
000200000000751,00200000000751,RASPBERRY FAMILY 2 LB,,11,113,BERRIES,,STORE01,Riverside,2026-08-07,2026-08-14,8,21.9,79.5,3.63,2.362,27.77,2.7375,9.9375,Sample_Movement_Report - Berry Category (synthetic).csv
000200000000753,00200000000753,BLUEBERRY ORIGINAL 2 LB,,11,113,BERRIES,Keystone Grocers Supply,STORE01,Riverside,2026-08-07,2026-08-14,8,10.2,57.22,5.61,3.8616,17.83,1.275,7.1525,Sample_Movement_Report - Berry Category (synthetic).csv
000200000000762,00200000000762,BLUEBERRY HOMESTYLE 16 OZ,,11,113,BERRIES,,STORE01,Riverside,2026-08-07,2026-08-14,8,27.3,110.02,4.03,2.7583,34.72,3.4125,13.7525,Sample_Movement_Report - Berry Category (synthetic).csv
000200000000765,00200000000765,CURRANT 8 OZ,,11,113,BERRIES,Ironwood Supply,STORE01,Riverside,2026-08-07,2026-08-14,8,9.4,45.97,4.89,3.4,14.01,1.175,5.7462,Sample_Movement_Report - Berry Category (synthetic).csv
000200000000771,00200000000771,GOOSEBERRY GARDEN 1 LB,Tulip Farms,11,113,BERRIES,Ironwood Supply,STORE01,Riverside,2026-08-07,2026-08-14,8,24.5,188.9,7.71,4.943,67.8,3.0625,23.6125,Sample_Movement_Report - Berry Category (synthetic).csv
000200000000780,00200000000780,CURRANT 1 LB,Dvina,11,113,BERRIES,,STORE01,Riverside,2026-08-07,2026-08-14,8,10.7,88.27,8.25,5.0409,34.33,1.3375,11.0337,Sample_Movement_Report - Berry Category (synthetic).csv
000200000000784,00200000000784,STRAWBERRY 16 OZ,White Birch,11,113,BERRIES,Dockside Seafood Co,STORE01,Riverside,2026-08-07,2026-08-14,8,11.4,87.89,7.71,4.6758,34.59,1.425,10.9863,Sample_Movement_Report - Berry Category (synthetic).csv
000200000000789,00200000000789,BLUEBERRY HOMESTYLE 400 G,,11,113,BERRIES,,STORE01,Riverside,2026-08-07,2026-08-14,8,24.1,124.12,5.15,2.9434,53.18,3.0125,15.515,Sample_Movement_Report - Berry Category (synthetic).csv
